date,time,Cloud Coverage (%),Temperature (Fahrenheit),Wind speed (mph),rain (inches),relative humidity (%),visibility (miles),cherry,bonus
2025-01-07,6:00:00,95,37.94,2.08,0.02,97,6.21,0,0
2025-01-07,7:00:00,40,36.14,1.81,0.01,97,6.21,0,0
2025-01-07,8:00:00,59,36.68,3.58,0.04,94,6.21,0,0
2025-01-07,9:00:00,70,36.14,0.54,0.03,95,6.21,0,0
2025-01-07,10:00:00,53,38.48,4.94,0.0,93,9.94,0,0
2025-01-07,11:00:00,80,39.92,3.58,0.08,90,9.94,0,0
2025-01-07,12:00:00,82,40.28,1.1,0.0,89,9.94,0,0
2025-01-07,13:00:00,89,40.64,1.97,0.0,90,9.94,0,0
2025-01-07,14:00:00,82,41.18,1.12,0.0,88,9.94,0,0
2025-01-07,15:00:00,79,41.72,2.17,0.0,83,9.94,0,0
2025-01-07,16:00:00,87,41.0,1.21,0.0,88,9.94,0,0
2025-01-07,17:00:00,70,39.02,2.68,0.0,92,9.94,0,0
2025-01-07,18:00:00,66,38.48,4.12,0.0,97,9.94,0,0
2025-01-07,19:00:00,58,38.12,1.95,0.0,96,9.94,0,0
2025-01-07,20:00:00,63,37.22,3.42,0.0,95,9.94,0,0
2025-01-07,21:00:00,60,38.12,1.72,0.0,94,9.94,0,0
2025-01-07,22:00:00,51,37.22,2.8,0.0,94,6.21,0,0
2025-01-07,23:00:00,63,37.22,0.83,0.0,97,9.94,0,0
2025-01-08,0:00:00,67,37.04,6.53,0.0,96,9.94,0,0
2025-01-08,1:00:00,74,37.22,3.33,0.01,95,9.94,0,0
2025-01-08,2:00:00,86,37.4,2.77,0.0,95,9.94,0,0
2025-01-08,3:00:00,96,37.58,2.48,0.0,95,9.94,0,0
2025-01-08,4:00:00,87,37.76,3.53,0.04,95,9.94,0,0
2025-01-08,5:00:00,94,37.4,2.73,0.13,95,6.21,0,0
2025-01-08,6:00:00,88,37.58,5.48,0.02,95,6.21,0,0
2025-01-08,7:00:00,77,37.4,2.33,0.07,94,6.21,0,0
2025-01-08,8:00:00,75,37.58,4.41,0.05,94,6.21,0,0
2025-01-08,9:00:00,68,37.4,3.83,0.14,95,6.21,0,0
2025-01-08,10:00:00,77,37.4,6.38,0.07,96,6.21,0,0
2025-01-08,11:00:00,92,38.3,3.11,0.06,94,6.21,0,0
2025-01-08,12:00:00,79,39.02,2.62,0.03,94,6.21,0,0
2025-01-08,13:00:00,85,39.2,2.17,0.08,93,6.21,0,0
2025-01-08,14:00:00,90,39.56,4.27,0.0,94,6.21,0,0
2025-01-08,15:00:00,91,39.92,3.83,0.0,95,6.21,0,0
2025-01-08,16:00:00,87,39.74,3.51,0.01,97,6.21,0,0
2025-01-08,17:00:00,92,39.56,0.56,0.01,97,6.21,0,0
2025-01-08,18:00:00,93,39.74,3.18,0.04,98,9.94,0,0
2025-01-08,19:00:00,87,41.0,2.91,0.0,98,9.94,0,0
2025-01-08,20:00:00,87,42.98,6.93,0.04,96,6.21,0,0
2025-01-08,21:00:00,82,44.96,8.48,0.06,96,6.21,0,0
2025-01-08,22:00:00,84,45.68,9.84,0.1,97,9.94,0,0
2025-01-08,23:00:00,93,46.94,12.48,0.11,96,9.94,0,0
2025-01-09,0:00:00,95,47.3,11.41,0.14,95,9.94,0,0
2025-01-09,1:00:00,93,44.96,13.91,0.0,92,9.94,0,0
2025-01-09,2:00:00,85,44.6,11.01,0.0,91,9.94,0,0
2025-01-09,3:00:00,88,44.06,9.31,0.11,86,6.21,0,0
2025-01-09,4:00:00,75,42.44,9.62,0.01,88,6.21,0,0
2025-01-09,5:00:00,77,41.72,10.18,0.0,89,9.94,0,0
2025-01-09,6:00:00,77,41.18,7.67,0.0,88,9.94,0,0
2025-01-09,7:00:00,85,41.36,10.36,0.0,87,9.94,0,0
2025-01-09,8:00:00,86,41.0,8.55,0.0,90,6.21,0,0
2025-01-09,9:00:00,90,41.36,8.77,0.1,88,9.94,0,0
2025-01-09,10:00:00,90,41.72,9.42,0.0,90,9.94,0,0
2025-01-09,11:00:00,87,43.16,4.34,0.0,86,9.94,0,0
2025-01-09,12:00:00,90,43.7,9.08,0.0,89,9.94,0,0
2025-01-09,13:00:00,86,43.16,8.01,0.0,86,9.94,0,0
2025-01-09,14:00:00,90,43.88,8.46,0.0,83,9.94,0,0
2025-01-09,15:00:00,87,43.88,6.93,0.0,83,9.94,0,0
2025-01-09,16:00:00,89,42.8,11.7,0.0,83,9.94,0,0
2025-01-09,17:00:00,92,41.9,4.18,0.0,86,9.94,0,0
2025-01-09,18:00:00,87,41.18,8.52,0.0,85,9.94,0,0
2025-01-09,19:00:00,85,40.82,11.07,0.0,85,9.94,0,0
2025-01-09,20:00:00,72,40.28,8.01,0.0,87,9.94,0,0
2025-01-09,21:00:00,79,40.1,7.94,0.0,86,9.94,0,0
2025-01-09,22:00:00,82,39.92,11.63,0.0,88,9.94,0,0
2025-01-09,23:00:00,81,39.2,3.56,0.0,88,9.94,0,0
2025-01-10,0:00:00,78,39.2,7.29,0.0,91,9.94,0,0
2025-01-10,1:00:00,78,38.48,4.54,0.0,92,9.94,0,0
2025-01-10,2:00:00,74,37.94,4.92,0.0,92,9.94,0,0
2025-01-10,3:00:00,78,37.58,3.69,0.0,94,9.94,0,0
2025-01-10,4:00:00,82,37.22,5.79,0.03,94,9.94,0,0
2025-01-10,5:00:00,79,37.4,4.45,0.06,93,9.94,0,0
2025-01-10,6:00:00,79,37.04,2.26,0.0,94,9.94,0,0
2025-01-10,7:00:00,83,36.68,0.83,0.02,94,9.94,0,0
2025-01-10,8:00:00,79,36.86,2.68,0.0,95,9.94,0,0
2025-01-10,9:00:00,84,37.04,2.73,0.0,95,9.94,0,0
2025-01-10,10:00:00,81,37.58,2.46,0.0,92,9.94,0,0
2025-01-10,11:00:00,77,38.48,2.66,0.0,92,9.94,0,0
2025-01-10,12:00:00,77,39.02,5.37,0.0,92,9.94,0,0
2025-01-10,13:00:00,75,39.56,3.62,0.0,90,9.94,0,0
2025-01-10,14:00:00,62,40.46,0.54,0.0,85,9.94,0,0
2025-01-10,15:00:00,51,40.46,0.56,0.0,88,9.94,0,0
2025-01-10,16:00:00,59,39.92,1.14,0.0,91,9.94,0,0
2025-01-10,17:00:00,47,39.38,0.02,0.05,94,9.94,0,0
2025-01-10,18:00:00,22,37.04,3.15,0.0,95,9.94,0,0
2025-01-10,19:00:00,15,35.96,3.09,0.0,95,9.94,0,0
2025-01-10,20:00:00,55,35.78,1.86,0.0,97,6.21,0,0
2025-01-10,21:00:00,90,36.5,3.65,0.0,97,9.94,0,0
2025-01-10,22:00:00,84,36.68,2.68,0.0,97,9.94,0,0
2025-01-10,23:00:00,76,37.58,2.66,0.0,95,9.94,0,0
2025-01-11,0:00:00,32,36.14,6.29,0.0,97,9.94,0,0
2025-01-11,1:00:00,62,36.14,3.42,0.0,97,9.94,0,0
2025-01-11,2:00:00,90,36.5,4.47,0.0,95,9.94,0,0
2025-01-11,3:00:00,74,37.04,3.89,0.0,95,9.94,0,0
2025-01-11,4:00:00,86,36.86,3.2,0.0,95,9.94,0,0
2025-01-11,5:00:00,46,35.42,2.33,0.0,96,9.94,0,0
2025-01-11,6:00:00,74,34.52,2.21,0.0,98,9.94,0,0
2025-01-11,7:00:00,6,34.7,3.62,0.0,87,9.94,0,0
2025-01-11,8:00:00,19,34.88,3.83,0.0,91,9.94,0,0
2025-01-11,9:00:00,58,35.24,2.84,0.02,88,9.94,0,0
2025-01-11,10:00:00,57,37.04,3.56,0.01,77,9.94,0,0
2025-01-11,11:00:00,74,38.48,1.52,0.0,75,9.94,0,0
2025-01-11,12:00:00,63,39.38,5.03,0.0,80,9.94,0,0
2025-01-11,13:00:00,78,40.28,7.16,0.0,80,9.94,0,0
2025-01-11,14:00:00,87,41.18,3.51,0.0,72,9.94,0,0
2025-01-11,15:00:00,74,40.46,6.38,0.04,69,9.94,0,0
2025-01-11,16:00:00,89,35.24,6.96,0.02,77,6.21,0,0
2025-01-11,17:00:00,2,31.64,12.46,0.0,84,6.21,0,0
2025-01-11,18:00:00,90,30.74,4.61,0.02,85,9.94,0,0
2025-01-11,19:00:00,100,29.84,5.28,0.04,82,6.21,0,0
2025-01-11,20:00:00,100,29.48,9.35,0.02,84,6.21,0,0
2025-01-11,21:00:00,100,28.58,10.11,0.0,76,9.94,0,0
2025-01-11,22:00:00,100,27.5,7.25,0.0,75,9.94,0,0
2025-01-11,23:00:00,99,26.78,8.46,0.0,76,9.94,0,0
2025-01-12,0:00:00,100,27.32,3.85,0.0,71,9.94,0,0
2025-01-12,1:00:00,100,26.96,4.56,0.0,66,9.94,0,0
2025-01-12,2:00:00,100,25.88,2.66,0.0,66,9.94,0,0
2025-01-12,3:00:00,100,24.8,3.94,0.0,60,9.94,0,0
2025-01-12,4:00:00,100,23.0,1.23,0.0,65,9.94,0,0
2025-01-12,5:00:00,85,20.84,1.36,0.0,70,9.94,0,0
2025-01-12,6:00:00,83,20.12,4.38,0.0,69,9.94,0,0
2025-01-12,7:00:00,56,19.04,5.68,0.0,65,9.94,0,0
2025-01-12,8:00:00,49,18.32,3.09,0.0,66,9.94,0,0
2025-01-12,9:00:00,22,18.32,2.35,0.0,66,9.94,0,0
2025-01-12,10:00:00,1,18.68,4.23,0.0,62,9.94,0,0
2025-01-12,11:00:00,61,19.04,5.03,0.0,52,9.94,0,0
2025-01-12,12:00:00,56,20.66,3.24,0.0,52,9.94,0,0
2025-01-12,13:00:00,47,20.3,5.68,0.0,51,9.94,0,0
2025-01-12,14:00:00,42,20.3,3.53,0.0,50,9.94,0,0
2025-01-12,15:00:00,0,20.12,6.17,0.0,48,9.94,0,0
2025-01-12,16:00:00,0,19.4,2.73,0.0,55,9.94,0,0
2025-01-12,17:00:00,0,17.78,2.01,0.0,63,9.94,0,0
2025-01-12,18:00:00,15,16.34,2.37,0.0,68,9.94,0,0
2025-01-12,19:00:00,22,15.08,2.13,0.0,75,9.94,0,0
2025-01-12,20:00:00,48,15.08,2.55,0.0,78,9.94,0,0
2025-01-12,21:00:00,78,15.08,1.92,0.0,75,9.94,0,0
2025-01-12,22:00:00,54,14.36,1.28,0.0,72,9.94,0,0
2025-01-12,23:00:00,90,13.82,0.6,0.0,72,9.94,0,0
2025-01-13,0:00:00,77,13.46,0.36,0.0,72,9.94,0,0
2025-01-13,1:00:00,20,12.92,2.86,0.0,70,9.94,0,0
2025-01-13,2:00:00,20,12.74,2.13,0.0,67,9.94,0,0
2025-01-13,3:00:00,63,12.74,2.71,0.0,68,9.94,0,0
2025-01-13,4:00:00,61,12.74,2.37,0.0,67,9.94,0,0
2025-01-13,5:00:00,22,12.38,0.49,0.0,68,9.94,0,0
2025-01-13,6:00:00,30,12.74,2.91,0.0,65,9.94,0,0
2025-01-13,7:00:00,42,12.38,2.17,0.0,65,9.94,0,0
2025-01-13,8:00:00,43,12.2,1.68,0.0,66,9.94,0,0
2025-01-13,9:00:00,47,13.82,3.27,0.0,61,9.94,0,0
2025-01-13,10:00:00,62,16.16,4.18,0.0,54,9.94,0,0
2025-01-13,11:00:00,39,19.58,1.97,0.0,53,9.94,0,0
2025-01-13,12:00:00,54,22.1,3.4,0.0,51,9.94,0,0
2025-01-13,13:00:00,65,23.36,2.15,0.0,48,9.94,0,0
2025-01-13,14:00:00,65,23.9,3.44,0.0,49,9.94,0,0
2025-01-13,15:00:00,58,23.36,2.44,0.0,50,9.94,0,0
2025-01-13,16:00:00,85,21.74,2.08,0.0,54,9.94,0,0
2025-01-13,17:00:00,51,20.48,2.1,0.0,62,9.94,0,0
2025-01-13,18:00:00,81,19.22,3.6,0.0,67,9.94,0,0
2025-01-13,19:00:00,65,18.5,2.68,0.0,69,9.94,0,0
2025-01-13,20:00:00,35,18.14,2.37,0.0,69,9.94,0,0
2025-01-13,21:00:00,25,18.14,2.46,0.0,70,9.94,0,0
2025-01-13,22:00:00,49,17.78,0.63,0.0,64,9.94,0,0
2025-01-13,23:00:00,26,16.88,2.19,0.0,70,9.94,0,0
2025-01-14,0:00:00,41,16.16,0.67,0.0,69,9.94,0,0
2025-01-14,1:00:00,33,15.98,0.6,0.0,68,9.94,0,0
2025-01-14,2:00:00,32,15.62,7.16,0.0,73,9.94,0,0
2025-01-14,3:00:00,22,15.44,2.04,0.0,73,9.94,0,0
2025-01-14,4:00:00,35,15.44,6.06,0.0,72,9.94,0,0
2025-01-14,5:00:00,31,15.98,2.73,0.0,69,9.94,0,0
2025-01-14,6:00:00,31,14.9,0.92,0.0,72,9.94,0,0
2025-01-14,7:00:00,28,15.44,0.13,0.0,75,9.94,0,0
2025-01-14,8:00:00,20,15.26,0.2,0.0,74,9.94,0,0
2025-01-14,9:00:00,9,17.06,5.37,0.0,74,9.94,0,0
2025-01-14,10:00:00,27,20.3,5.37,0.0,72,9.94,0,0
2025-01-14,11:00:00,47,24.62,0.51,0.0,65,9.94,0,0
2025-01-14,12:00:00,30,26.42,2.68,0.0,66,9.94,0,0
2025-01-14,13:00:00,29,28.58,1.95,0.0,57,9.94,0,0
2025-01-14,14:00:00,26,29.48,0.11,0.0,52,9.94,0,0
2025-01-14,15:00:00,19,29.3,2.21,0.0,55,9.94,0,0
2025-01-14,16:00:00,38,28.58,2.46,0.0,61,9.94,0,0
2025-01-14,17:00:00,50,26.96,3.65,0.0,61,9.94,0,0
2025-01-14,18:00:00,21,25.34,2.91,0.0,66,9.94,0,0
2025-01-14,19:00:00,64,24.62,1.28,0.0,63,9.94,0,0
2025-01-14,20:00:00,59,23.9,2.21,0.0,66,9.94,0,0
2025-01-14,21:00:00,74,23.0,1.3,0.0,69,9.94,0,0
2025-01-14,22:00:00,50,22.28,1.74,0.0,70,9.94,0,0
2025-01-14,23:00:00,0,21.2,1.97,0.0,73,9.94,0,0
2025-01-15,0:00:00,0,20.66,2.15,0.0,76,9.94,0,0
2025-01-15,1:00:00,29,20.12,2.17,0.0,77,9.94,0,0
2025-01-15,2:00:00,48,20.48,4.23,0.0,72,9.94,0,0
2025-01-15,3:00:00,60,20.48,1.74,0.0,71,9.94,0,0
2025-01-15,4:00:00,64,20.48,7.16,0.0,72,9.94,0,0
2025-01-15,5:00:00,52,20.3,0.38,0.0,73,9.94,0,0
2025-01-15,6:00:00,52,19.58,1.83,0.0,76,9.94,0,0
2025-01-15,7:00:00,11,19.4,1.61,0.0,76,9.94,0,0
2025-01-15,8:00:00,19,19.04,3.02,0.0,76,9.94,0,0
2025-01-15,9:00:00,4,20.3,3.22,0.0,75,9.94,0,0
2025-01-15,10:00:00,29,24.44,3.87,0.0,68,9.94,0,0
2025-01-15,11:00:00,25,28.58,2.8,0.0,60,9.94,0,0
2025-01-15,12:00:00,28,30.56,1.23,0.0,56,9.94,0,0
2025-01-15,13:00:00,1,33.44,2.15,0.0,52,9.94,0,0
2025-01-15,14:00:00,30,36.5,1.92,0.0,48,9.94,0,0
2025-01-15,15:00:00,43,35.78,1.57,0.0,52,9.94,0,0
2025-01-15,16:00:00,53,34.7,0.83,0.0,56,9.94,0,0
2025-01-15,17:00:00,51,33.08,1.77,0.0,60,9.94,0,0
2025-01-15,18:00:00,46,30.92,6.26,0.0,61,9.94,0,0
2025-01-15,19:00:00,44,29.48,1.19,0.0,59,9.94,0,0
2025-01-15,20:00:00,35,28.58,2.17,0.0,63,9.94,0,0
2025-01-15,21:00:00,50,27.32,1.12,0.0,61,6.21,0,0
2025-01-15,22:00:00,44,26.96,0.22,0.0,60,9.94,0,0
2025-01-15,23:00:00,54,26.6,6.26,0.0,54,9.94,0,0
2025-01-16,0:00:00,62,25.7,0.69,0.0,48,9.94,0,0
2025-01-16,1:00:00,62,24.8,2.1,0.0,56,9.94,0,0
2025-01-16,2:00:00,80,23.72,1.21,0.0,61,9.94,0,0
2025-01-16,3:00:00,94,23.54,1.41,0.0,61,9.94,0,0
2025-01-16,4:00:00,70,22.82,2.42,0.0,64,9.94,0,0
2025-01-16,5:00:00,45,22.46,3.27,0.0,72,9.94,0,0
2025-01-16,6:00:00,45,21.92,2.66,0.0,65,9.94,0,0
2025-01-16,7:00:00,63,21.74,0.11,0.0,70,9.94,0,0
2025-01-16,8:00:00,41,22.46,8.05,0.0,66,9.94,0,0
2025-01-16,9:00:00,78,24.08,0.81,0.0,68,9.94,0,0
2025-01-16,10:00:00,95,25.52,2.04,0.0,63,9.94,0,0
2025-01-16,11:00:00,40,28.58,1.63,0.0,65,9.94,0,0
2025-01-16,12:00:00,57,31.64,1.66,0.0,57,9.94,0,0
2025-01-16,13:00:00,52,33.26,0.11,0.0,53,9.94,0,0
